AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
2.770888567,9.399007797,3.560520172,-0.5427533388,-0.01069013402,-0.1765399277,0
1.679761529,9.489934921,4.766502857,-0.1036942974,0.121714808,-0.2666424811,0
1.579262972,8.882157326,3.94815731,-0.04428769648,0.3478874862,-0.09529490769,0
1.292124271,9.164510727,3.737588882,0.1304196268,0.3065013885,0.212122798,0
1.354337573,9.882357597,4.359723091,0.2076940238,0.4981602132,0.2396117151,0
1.105484009,9.695717812,5.221138954,0.3498727977,0.617431581,0.02550360374,0
1.426122308,9.609575272,4.771288395,0.1853974611,0.6104066372,-0.109955661,0
1.306481123,8.829515457,5.517848969,0.1047633067,0.7266236544,-0.1685986817,0
-0.760917604,7.566105366,4.522434711,0.4135554433,0.3498727977,-0.1105665267,0
-0.7657032609,7.623532772,3.239881754,0.2802342176,-0.06887500733,0.02565632015,0
-0.813559711,7.996813297,3.905086517,0.09407317638,-0.1960875988,0.1461493969,0
1.55054903,8.432307243,5.393422127,0.02977965772,-0.1058323234,-0.07925970852,0
-0.4307080805,8.772088051,4.134797573,0.1084285006,-0.1563813835,0.03100138716,0
-0.2536391914,8.298309326,3.847658873,0.1930332631,-0.2492328286,-0.007483093534,0
0.1100698411,8.719446182,4.086941242,0.1324049383,-0.2063195854,-0.08139773458,0
-0.4737788737,8.504091263,4.024727821,0.1621845961,-0.1406516135,-0.04749473557,0
-0.3062812984,8.729017258,3.632304668,0.1895207912,-0.1997527778,0.0016798781,0
-0.2967100143,8.925228119,3.66101861,0.2559523284,-0.1047633067,0.05818486959,0
-0.6699903607,9.36550808,2.895315409,0.2744309902,-0.06261363626,0.1285870373,0
0.4019941986,10.49970531,3.05324173,0.2776380479,-0.1514944583,0.05345066637,0
0.6460621357,10.14078236,4.029513359,0.4663952589,-0.1510363221,0.09529490769,0
0.760917604,10.0019989,2.857030153,0.5506945848,-0.377972573,0.1400407553,0
1.493121386,9.997213364,2.311466694,0.04230238497,-0.127212584,-0.1102610901,0
0.6460621357,8.551948547,3.785445452,-0.08048143238,-0.08399390429,-0.1259908676,0
0.7944171429,8.149953842,2.95752883,0.07605266571,-0.3109301627,-0.05635227636,0
1.416550994,8.178668022,3.211168051,-0.2756527364,-0.1951712966,-0.1305723488,0
1.205982566,8.839086533,3.732803345,-0.2266308367,-0.1701258421,-0.138819024,0
1.129412293,9.121439934,3.498306751,-0.09498947114,0.04016435891,-0.1481347084,0
0.7226324677,8.609375954,2.847458839,0.07574722916,-0.05467239767,-0.1476765573,0
0.8470591903,8.700303078,2.20618248,-0.1411097646,0.2477056682,-0.2124282271,0
-0.08614161611,8.317451477,3.105883837,0.1108719558,0.131183207,-0.0609337613,0
